Phone Number,International Plan,Voice mail Plan,Account Length,Total day Charge,Number Customer Service calls,Churn,State,churn_probability,predicted_churn,risk_tier
 384-6264, no, no,45,16.34,1,No,DC,0.02,No,Low
 352-4534, no, no,129,17.24,1,No,TN,0.0,No,Low
 378-4617, no, no,142,39.53,4,No,VT,0.03,No,Low
 364-9567, no, yes,130,29.67,1,No,MD,0.01,No,Low
 371-5875, no, yes,163,38.08,1,No,LA,0.07,No,Low
 383-6489, no, no,105,35.89,4,No,HI,0.07,No,Low
 345-7117, no, no,119,18.56,2,No,FL,0.01,No,Low
 384-3902, no, no,78,37.4,0,No,WY,0.0,No,Low
 386-2759, no, no,92,30.84,2,No,NE,0.0,No,Low
 356-1270, no, yes,146,30.72,2,No,WY,0.0,No,Low
 379-1336, no, yes,125,16.41,1,No,OR,0.01,No,Low
 354-7201, no, no,88,31.2,3,No,IN,0.0,No,Low
 404-5057, no, yes,83,18.34,0,No,MD,0.01,No,Low
 407-8012, yes, no,3,27.37,1,No,TN,0.08,No,Low
 332-6139, yes, yes,152,24.96,1,Yes,WV,0.82,Yes,Critical
 328-1373, no, no,48,25.36,3,No,WA,0.04,No,Low
 411-6501, no, no,189,38.73,3,No,MS,0.03,No,Low
 329-8056, no, yes,95,27.25,0,No,OH,0.01,No,Low
 415-4564, no, no,129,23.43,1,Yes,IN,0.63,Yes,High
 329-6192, no, yes,66,24.09,0,No,CO,0.0,No,Low
 384-3904, no, yes,80,33.39,0,No,TX,0.01,No,Low
 373-1028, no, no,1,29.78,1,No,AK,0.06,No,Low
 369-1220, no, no,84,24.96,1,No,WV,0.0,No,Low
 359-9369, no, no,96,29.56,1,No,MA,0.01,No,Low
 415-3016, no, yes,123,51.88,1,No,TN,0.03,No,Low
 414-7090, yes, yes,116,27.59,3,Yes,ID,0.62,Yes,High
 350-2250, yes, no,105,25.5,3,No,DE,0.07,No,Low
 383-9355, no, no,80,33.58,1,No,VA,0.0,No,Low
 417-3257, no, no,157,40.83,2,No,MT,0.05,No,Low
 336-8010, no, yes,67,31.65,2,No,ID,0.01,No,Low
 354-7718, no, yes,141,19.87,0,No,IN,0.04,No,Low
 358-4412, no, yes,79,40.24,1,No,MD,0.02,No,Low
 368-8972, no, no,76,29.44,0,No,MS,0.03,No,Low
 407-9841, no, no,111,25.87,0,No,WA,0.04,No,Low
 393-5208, no, no,94,30.82,0,No,OH,0.04,No,Low
 332-2889, no, no,143,28.53,4,Yes,RI,0.74,Yes,High
 374-5530, no, no,109,29.82,1,No,AR,0.05,No,Low
 332-3381, no, no,138,14.89,2,No,AZ,0.0,No,Low
 344-9347, no, no,73,34.56,0,No,SC,0.05,No,Low
 412-1991, no, no,21,15.74,5,Yes,KY,0.89,Yes,Critical
 393-4528, no, yes,148,44.69,1,No,AL,0.04,No,Low
 347-2378, no, no,103,27.34,1,No,NE,0.02,No,Low
 385-2699, no, yes,143,24.11,1,No,MT,0.03,No,Low
 383-4319, no, yes,79,8.6,2,No,MN,0.0,No,Low
 352-7915, no, no,89,22.93,1,No,NV,0.01,No,Low
 375-5547, no, no,120,42.86,1,No,CA,0.35,No,Medium
 337-2348, no, yes,121,36.64,1,No,UT,0.01,No,Low
 342-8702, no, no,101,21.22,0,No,IL,0.02,No,Low
 393-5802, no, no,115,30.38,2,No,DC,0.04,No,Low
 384-2219, no, no,168,31.14,2,No,IN,0.04,No,Low
 347-6164, no, no,90,28.48,1,No,NM,0.01,No,Low
 376-9940, no, no,70,25.01,3,No,MS,0.03,No,Low
 354-4352, no, no,138,39.12,1,No,VT,0.03,No,Low
 331-8713, no, no,43,23.09,0,No,VT,0.01,No,Low
 341-3663, no, yes,117,34.97,2,No,UT,0.02,No,Low
 376-4665, no, no,108,12.55,2,No,KY,0.01,No,Low
 421-9034, no, no,118,32.18,2,No,VA,0.02,No,Low
 401-5169, no, no,169,25.02,3,No,OH,0.02,No,Low
 370-8262, no, yes,62,23.34,0,No,AZ,0.01,No,Low
 387-2041, no, no,86,12.02,2,No,NY,0.04,No,Low
 356-4146, no, no,44,34.78,0,No,VA,0.01,No,Low
 372-8883, no, no,111,20.93,5,Yes,MD,0.93,Yes,Critical
 336-1880, no, yes,127,22.05,2,No,MA,0.01,No,Low
 347-5843, yes, no,151,33.78,0,No,IL,0.09,No,Low
 370-8023, no, no,53,24.67,2,No,LA,0.01,No,Low
 417-9814, no, no,15,22.98,2,No,MO,0.0,No,Low
 387-3422, no, yes,123,21.2,1,No,DC,0.0,No,Low
 365-1664, no, no,137,36.7,1,No,PA,0.0,No,Low
 367-2436, no, no,106,20.26,2,No,TN,0.06,No,Low
 344-6258, no, no,88,24.53,3,No,NJ,0.01,No,Low
 353-8928, no, no,106,39.98,1,No,VA,0.02,No,Low
 365-7784, no, no,95,29.58,0,No,TN,0.02,No,Low
 330-2635, yes, no,57,19.55,0,Yes,NJ,0.85,Yes,Critical
 344-3131, no, no,184,25.79,2,No,WA,0.01,No,Low
 378-4294, no, no,109,26.03,3,No,AR,0.01,No,Low
 343-9365, no, no,127,37.16,2,No,WI,0.04,No,Low
 362-5579, no, no,82,45.08,2,No,WA,0.13,No,Low
 366-7616, no, no,180,24.36,1,No,RI,0.01,No,Low
 397-2870, no, no,174,32.35,2,No,ME,0.0,No,Low
 408-3262, no, no,92,31.4,2,Yes,CO,0.66,Yes,High
 372-9091, no, no,81,19.6,1,No,CO,0.01,No,Low
 410-3159, no, no,125,19.21,2,Yes,RI,0.59,Yes,High
 344-5181, no, no,119,50.01,0,Yes,CT,0.86,Yes,Critical
 396-8662, no, no,122,36.65,3,No,NC,0.0,No,Low
 339-6446, no, no,34,21.9,1,No,WY,0.01,No,Low
 384-7236, yes, yes,138,35.9,3,Yes,OR,0.86,Yes,Critical
 353-5257, no, yes,90,12.1,1,No,FL,0.02,No,Low
 369-7295, no, no,73,16.13,2,No,KY,0.04,No,Low
 408-5322, no, no,19,44.1,1,Yes,SC,0.86,Yes,Critical
 344-9620, no, yes,120,36.69,1,No,WA,0.01,No,Low
 329-8436, no, no,160,16.58,3,No,MT,0.05,No,Low
 414-6739, no, no,141,24.91,0,No,PA,0.02,No,Low
 406-1730, no, no,90,26.84,2,No,MA,0.0,No,Low
 336-9327, no, no,72,23.78,2,No,VT,0.0,No,Low
 378-7418, no, yes,117,26.04,1,No,MN,0.0,No,Low
 412-6019, yes, no,79,17.6,2,No,IL,0.07,No,Low
 390-4789, no, no,87,31.59,1,No,AR,0.01,No,Low
 386-9774, no, no,102,22.02,1,No,MD,0.11,No,Low
 353-8970, no, no,49,40.22,1,No,MT,0.07,No,Low
 410-5370, no, no,67,44.27,6,No,VT,0.29,No,Low
 404-4421, no, no,107,28.44,2,No,CO,0.02,No,Low
 409-3353, no, no,190,30.97,2,No,NC,0.03,No,Low
 422-2571, no, no,118,19.21,2,No,WA,0.03,No,Low
 412-3404, no, no,120,31.57,0,No,TN,0.07,No,Low
 333-2964, no, no,94,23.15,0,No,AR,0.02,No,Low
 406-6669, no, yes,115,37.84,1,No,DC,0.01,No,Low
 409-8802, no, no,61,33.54,1,No,MN,0.0,No,Low
 354-6183, no, yes,143,24.04,1,No,IA,0.04,No,Low
 354-2434, no, no,110,35.36,1,No,KS,0.01,No,Low
 389-7620, no, no,104,20.15,1,No,ND,0.04,No,Low
 338-1724, no, no,16,26.04,1,No,MT,0.01,No,Low
 399-1750, no, no,183,18.41,0,No,IL,0.01,No,Low
 354-8914, no, no,147,28.66,2,No,DC,0.01,No,Low
 409-2983, no, no,58,42.02,2,Yes,KY,0.79,Yes,Critical
 329-9689, yes, no,102,38.11,3,No,MS,0.05,No,Low
 337-8950, no, no,123,28.37,3,No,TN,0.07,No,Low
 374-1836, no, yes,64,20.13,1,No,IA,0.01,No,Low
 359-9454, no, no,103,32.45,2,No,AK,0.0,No,Low
 378-9542, no, no,152,54.03,1,Yes,MN,0.8,Yes,Critical
 344-1970, no, no,124,53.04,1,Yes,WV,0.92,Yes,Critical
 417-2774, no, no,97,24.82,1,No,OR,0.02,No,Low
 333-9002, no, no,131,22.37,1,Yes,MS,0.66,Yes,High
 369-8576, no, yes,57,32.88,2,No,ME,0.0,No,Low
 372-6920, no, no,157,31.47,2,No,MN,0.0,No,Low
 333-6575, no, no,194,32.86,0,No,GA,0.05,No,Low
 410-1190, no, no,66,24.89,1,No,DC,0.01,No,Low
 376-1641, no, no,155,12.1,0,No,GA,0.01,No,Low
 329-6731, no, no,123,20.94,4,Yes,NY,0.91,Yes,Critical
 393-3976, no, no,116,34.85,2,No,OK,0.02,No,Low
 388-7355, no, no,63,21.88,1,No,OK,0.05,No,Low
 412-7791, no, no,64,36.87,3,No,GA,0.0,No,Low
 368-6111, no, no,96,25.5,3,No,NJ,0.0,No,Low
 401-9420, no, no,53,27.9,1,No,MN,0.03,No,Low
 352-5750, no, no,105,36.04,3,No,ME,0.01,No,Low
 417-3702, no, yes,53,28.44,2,No,MI,0.01,No,Low
 353-5714, no, no,101,26.25,1,No,MT,0.05,No,Low
 409-9494, no, yes,129,30.14,3,No,NE,0.01,No,Low
 395-1901, no, no,122,39.3,1,Yes,ND,0.79,Yes,Critical
 378-8342, no, no,163,34.49,5,No,VA,0.03,No,Low
 417-6044, no, no,93,25.43,0,No,VT,0.0,No,Low
 348-1163, yes, no,115,58.7,1,Yes,OH,0.92,Yes,Critical
 337-4600, no, no,25,45.03,1,Yes,AL,0.82,Yes,Critical
 355-5922, no, no,73,20.74,1,No,DC,0.03,No,Low
 369-5810, no, no,120,30.12,2,No,ND,0.05,No,Low
 340-8291, no, no,196,22.63,1,No,TN,0.01,No,Low
 354-7397, no, no,97,38.27,0,Yes,DE,0.52,Yes,Medium
 407-7464, no, no,148,35.43,1,No,NY,0.06,No,Low
 386-6411, no, yes,85,29.43,1,No,AL,0.0,No,Low
 397-3746, yes, no,86,27.61,2,Yes,OK,0.91,Yes,Critical
 410-5236, no, yes,78,47.8,2,No,MS,0.08,No,Low
 409-2412, no, no,106,35.41,3,No,MD,0.01,No,Low
 400-7280, no, yes,147,41.38,2,No,NE,0.08,No,Low
 332-5820, no, no,145,38.11,1,Yes,AR,0.77,Yes,Critical
 373-4483, no, no,91,32.18,3,No,IL,0.02,No,Low
 347-6717, no, yes,81,28.61,4,No,IN,0.07,No,Low
 380-2929, no, yes,116,39.59,1,No,UT,0.04,No,Low
 420-7692, no, yes,69,26.35,1,No,LA,0.02,No,Low
 380-6437, no, no,135,26.25,0,No,ID,0.03,No,Low
 377-8309, no, no,73,39.9,2,No,KY,0.03,No,Low
 407-2718, no, no,48,40.8,1,No,MI,0.04,No,Low
 357-1938, yes, no,125,50.73,0,Yes,NH,0.69,Yes,High
 381-3735, no, no,100,28.22,1,No,WV,0.0,No,Low
 409-8453, no, yes,165,18.97,0,No,OR,0.03,No,Low
 395-6758, no, no,64,29.67,2,No,SD,0.0,No,Low
 399-5424, yes, yes,116,29.84,1,No,MD,0.04,No,Low
 409-4671, yes, yes,147,26.78,3,Yes,ND,0.38,No,Medium
 374-6525, no, no,115,35.05,1,No,TN,0.03,No,Low
 406-8665, no, yes,84,35.28,4,No,MO,0.09,No,Low
 342-7716, no, yes,86,24.62,4,No,IL,0.31,No,Medium
 417-2221, no, no,134,44.0,2,No,UT,0.01,No,Low
 376-5213, no, no,105,38.57,0,Yes,MI,0.54,Yes,Medium
 348-7448, no, no,88,25.99,2,No,AR,0.01,No,Low
 328-8179, no, yes,90,26.64,2,No,TX,0.01,No,Low
 389-4602, no, no,86,25.64,1,No,AK,0.01,No,Low
 413-2238, no, no,37,37.57,4,No,TN,0.08,No,Low
 402-3370, no, yes,141,54.81,1,Yes,NH,0.08,No,Low
 348-6008, no, no,148,26.11,2,No,NM,0.03,No,Low
 371-5655, no, yes,163,36.57,2,No,MN,0.0,No,Low
 374-5224, no, yes,89,29.65,1,No,IA,0.0,No,Low
 371-1187, no, no,63,30.69,0,No,RI,0.03,No,Low
 337-1100, no, no,102,20.93,2,No,AL,0.01,No,Low
 421-8141, no, no,76,28.17,1,No,NC,0.0,No,Low
 406-2678, no, no,104,34.03,2,No,SD,0.02,No,Low
 415-9649, no, no,109,26.32,3,No,MT,0.04,No,Low
 364-8128, no, no,105,21.32,2,No,HI,0.0,No,Low
 356-7817, no, yes,63,31.31,1,No,MT,0.0,No,Low
 404-6357, no, yes,105,46.7,3,No,KY,0.02,No,Low
 398-2138, yes, yes,68,24.14,1,No,DC,0.03,No,Low
 378-8029, yes, yes,63,25.76,1,No,CO,0.03,No,Low
 386-4215, no, no,74,21.22,3,No,MI,0.02,No,Low
 367-8156, no, no,76,30.46,0,No,AL,0.01,No,Low
 382-8079, yes, no,91,41.89,2,Yes,KS,0.7,Yes,High
 354-2985, no, no,101,39.56,5,No,NC,0.07,No,Low
 373-6922, no, no,116,48.96,0,Yes,SC,0.98,Yes,Critical
 397-7125, no, yes,131,29.04,1,No,CO,0.03,No,Low
 333-6296, no, no,84,36.74,1,No,MN,0.02,No,Low
 365-6022, no, no,104,23.58,2,No,WY,0.02,No,Low
 365-1688, no, no,108,35.82,3,No,FL,0.02,No,Low
 382-4872, no, no,111,30.91,0,No,NY,0.01,No,Low
 367-6136, no, yes,155,10.47,1,No,OK,0.02,No,Low
 404-3592, no, no,66,35.31,1,No,ME,0.0,No,Low
 415-2949, no, no,64,37.26,1,No,NE,0.0,No,Low
 375-8880, no, no,69,38.59,2,No,OH,0.11,No,Low
 335-6832, no, no,116,41.8,3,No,CT,0.09,No,Low
 361-8367, no, no,101,43.74,0,No,DC,0.07,No,Low
 408-2002, no, no,15,20.59,2,No,OK,0.03,No,Low
 347-8659, no, no,88,51.26,4,Yes,NJ,0.84,Yes,Critical
 376-2922, no, no,197,39.76,0,No,IA,0.01,No,Low
 382-2182, yes, no,50,16.93,2,Yes,VA,0.9,Yes,Critical
 408-2089, no, no,172,28.87,2,No,VA,0.07,No,Low
 369-6890, yes, yes,188,33.8,1,Yes,NM,0.95,Yes,Critical
 347-2951, yes, no,85,19.75,3,No,FL,0.03,No,Low
 420-6324, yes, no,103,43.5,1,Yes,RI,0.78,Yes,Critical
 402-7650, no, yes,136,31.91,3,No,NJ,0.04,No,Low
 391-2702, no, yes,155,33.3,0,No,NE,0.02,No,Low
 383-3375, no, no,145,22.0,2,No,WV,0.05,No,Low
 392-2733, no, yes,116,37.57,2,No,WY,0.01,No,Low
 397-9933, no, no,152,23.89,2,No,SC,0.02,No,Low
 383-9306, yes, no,65,47.24,0,Yes,MS,0.77,Yes,Critical
 369-1929, no, no,180,38.23,3,Yes,ND,0.15,No,Low
 369-4377, no, no,67,18.55,0,No,IL,0.01,No,Low
 366-9430, no, no,60,35.33,0,No,OR,0.01,No,Low
 353-7407, no, no,138,35.0,0,No,UT,0.0,No,Low
 359-7426, no, no,44,52.46,4,Yes,IA,0.8,Yes,Critical
 332-7391, no, no,25,41.24,2,No,ME,0.29,No,Low
 405-6559, no, no,145,39.03,1,No,WY,0.01,No,Low
 338-8784, no, yes,122,28.22,2,No,WI,0.0,No,Low
 415-6347, no, no,121,24.62,0,Yes,SC,0.1,No,Low
 354-5058, yes, no,55,18.04,0,No,DC,0.07,No,Low
 342-5701, no, no,77,37.71,1,No,CT,0.05,No,Low
 378-4179, no, no,12,34.78,2,No,OR,0.03,No,Low
 407-6391, no, no,64,36.3,3,No,OR,0.01,No,Low
 404-3105, no, yes,92,25.84,2,No,NV,0.0,No,Low
 390-9735, yes, yes,125,44.34,1,Yes,MN,0.86,Yes,Critical
 350-4820, no, no,160,28.29,1,No,OK,0.04,No,Low
 383-8807, no, no,79,30.24,0,No,KS,0.02,No,Low
 366-8382, no, no,36,39.97,3,No,RI,0.05,No,Low
 402-9704, no, no,102,31.76,2,No,DC,0.09,No,Low
 405-2209, yes, no,138,45.63,1,No,IL,0.2,No,Low
 397-3939, no, no,164,32.66,3,No,UT,0.0,No,Low
 343-2689, no, no,125,40.92,0,Yes,MN,0.83,Yes,Critical
 383-9448, no, no,72,30.58,2,No,WI,0.01,No,Low
 359-6232, no, no,74,53.4,3,Yes,MI,0.98,Yes,Critical
 369-9772, no, yes,134,27.54,0,No,MI,0.02,No,Low
 381-7003, no, no,145,29.89,1,No,MA,0.01,No,Low
 352-6732, no, no,136,18.6,0,No,AL,0.02,No,Low
 388-7540, no, no,209,43.37,3,Yes,SC,0.9,Yes,Critical
 356-3333, yes, no,66,35.48,3,No,WI,0.05,No,Low
 333-9664, no, yes,152,36.48,1,No,VT,0.02,No,Low
 363-3763, no, no,162,8.36,1,No,CT,0.06,No,Low
 345-7900, no, no,72,24.02,2,No,OR,0.01,No,Low
 400-5511, no, no,101,43.04,4,No,HI,0.16,No,Low
 381-7597, no, no,125,35.02,0,No,WV,0.03,No,Low
 404-9775, no, no,46,6.87,2,No,RI,0.05,No,Low
 389-4608, no, no,132,49.5,1,Yes,MI,0.95,Yes,Critical
 403-1742, no, yes,193,12.1,0,No,ME,0.01,No,Low
 328-9797, no, no,63,44.51,0,Yes,WV,0.94,Yes,Critical
 359-9223, no, no,124,32.52,1,No,NE,0.02,No,Low
 336-7696, no, no,144,22.66,0,No,DC,0.05,No,Low
 369-2214, no, yes,116,31.21,2,No,NH,0.01,No,Low
 411-1325, no, yes,189,26.38,1,No,MD,0.01,No,Low
 410-7553, no, yes,97,48.13,1,No,NH,0.02,No,Low
 376-4284, no, yes,137,31.71,2,No,WV,0.11,No,Low
 334-2800, no, yes,142,27.76,0,No,IL,0.01,No,Low
 369-1904, no, no,84,34.58,1,No,OK,0.0,No,Low
 359-3833, no, yes,119,30.28,1,No,NH,0.01,No,Low
 348-5569, no, no,158,33.3,1,No,MI,0.02,No,Low
 342-1960, no, no,50,50.2,1,No,ND,0.13,No,Low
 352-9050, no, no,98,23.14,2,No,LA,0.0,No,Low
 390-5316, no, yes,101,19.4,2,No,HI,0.0,No,Low
 418-8568, no, no,182,47.45,2,Yes,NJ,0.93,Yes,Critical
 401-4844, no, no,51,28.78,0,No,WV,0.0,No,Low
 376-5471, no, no,117,36.45,2,No,NC,0.01,No,Low
 409-2917, yes, no,92,43.49,0,No,PA,0.05,No,Low
 369-6308, no, no,86,25.19,2,No,MI,0.06,No,Low
 357-7385, no, no,122,20.28,2,No,WY,0.01,No,Low
 405-7119, no, yes,156,32.69,1,No,NJ,0.03,No,Low
 405-3309, no, no,127,41.68,0,Yes,NJ,0.29,No,Low
 384-4938, yes, no,130,36.75,5,Yes,NC,0.87,Yes,Critical
 377-2725, no, no,158,29.31,2,No,NM,0.03,No,Low
 405-6398, yes, yes,145,29.8,1,No,MS,0.03,No,Low
 355-9366, yes, yes,90,28.73,0,Yes,TX,0.91,Yes,Critical
 403-1128, no, yes,127,0.44,3,No,OK,0.02,No,Low
 384-9682, no, no,109,31.3,1,No,ID,0.01,No,Low
 352-5393, no, no,88,30.92,1,No,AL,0.0,No,Low
 395-1229, no, yes,101,27.22,0,No,WY,0.0,No,Low
 361-9195, no, no,171,32.27,0,No,HI,0.01,No,Low
 351-6366, no, no,21,37.94,1,No,VA,0.05,No,Low
 346-4919, no, yes,145,36.72,2,No,WV,0.0,No,Low
 354-9068, no, no,90,33.75,2,No,DE,0.09,No,Low
 369-2743, no, no,33,27.12,1,No,CA,0.01,No,Low
 343-1347, no, yes,61,17.85,2,Yes,PA,0.03,No,Low
 336-5495, no, no,107,34.77,3,No,CO,0.01,No,Low
 376-4292, no, no,147,46.58,0,Yes,MD,0.88,Yes,Critical
 391-8677, no, no,117,26.98,2,No,AL,0.01,No,Low
 350-7273, no, no,95,39.08,1,No,AL,0.01,No,Low
 400-6454, no, no,186,23.43,1,No,KS,0.02,No,Low
 422-3052, no, no,128,30.5,0,No,MI,0.05,No,Low
 365-6756, no, yes,55,23.68,3,No,AK,0.03,No,Low
 406-4158, no, no,134,1.33,2,No,OH,0.03,No,Low
 383-4641, no, yes,96,31.13,1,No,IN,0.01,No,Low
 368-5165, no, no,107,35.17,0,No,SC,0.01,No,Low
 378-2432, no, no,123,23.8,2,No,KS,0.02,No,Low
 362-4159, no, no,35,30.46,2,No,OK,0.04,No,Low
 363-7979, no, no,74,30.16,0,No,WI,0.03,No,Low
 334-9818, no, no,130,19.65,1,No,IN,0.07,No,Low
 352-5787, yes, no,137,40.34,0,Yes,IL,0.96,Yes,Critical
 332-3617, no, no,88,30.86,1,No,TN,0.03,No,Low
 327-9957, no, no,80,8.76,3,No,DC,0.0,No,Low
 338-7527, no, yes,116,26.47,3,No,NC,0.0,No,Low
 348-8711, no, yes,123,41.65,2,No,RI,0.09,No,Low
 421-3226, no, no,120,22.39,1,No,MS,0.01,No,Low
 391-4358, yes, no,146,18.89,1,No,VA,0.05,No,Low
 379-2523, no, yes,106,15.05,3,No,KY,0.01,No,Low
 419-2369, no, yes,121,19.72,1,No,NV,0.01,No,Low
 382-1227, no, no,137,26.44,1,No,WI,0.03,No,Low
 409-5749, no, yes,84,18.11,2,No,NH,0.02,No,Low
 362-7951, no, yes,67,29.78,1,No,NE,0.0,No,Low
 415-3537, no, no,161,26.3,4,Yes,WI,0.89,Yes,Critical
 373-3959, no, yes,134,42.02,2,Yes,NJ,0.72,Yes,High
 358-1346, yes, yes,62,37.13,0,Yes,ME,0.91,Yes,Critical
 381-8422, no, yes,120,38.68,1,No,WY,0.01,No,Low
 360-9005, no, yes,130,31.45,0,No,IN,0.04,No,Low
 344-5967, no, no,20,31.76,2,No,WI,0.03,No,Low
 396-6390, no, no,68,27.0,1,No,VT,0.0,No,Low
 346-5036, no, no,112,35.48,0,No,CA,0.03,No,Low
 328-7252, no, no,77,31.6,3,No,IN,0.03,No,Low
 360-1745, no, no,109,37.83,2,No,SC,0.04,No,Low
 358-2046, no, no,108,34.19,3,No,IN,0.0,No,Low
 344-6935, no, yes,79,28.54,1,No,IA,0.01,No,Low
 401-9665, no, no,119,40.65,3,Yes,MD,0.71,Yes,High
 399-5291, no, no,38,29.87,5,Yes,MN,0.8,Yes,Critical
 409-6588, no, yes,109,18.9,6,Yes,AR,0.81,Yes,Critical
 358-5721, no, no,78,14.91,1,No,MS,0.01,No,Low
 414-7446, no, no,134,41.5,0,No,MN,0.15,No,Low
 329-9517, no, yes,47,28.05,2,No,WA,0.0,No,Low
 415-9553, no, yes,59,21.66,0,No,MS,0.01,No,Low
 413-3177, no, no,151,33.12,0,No,ID,0.01,No,Low
 347-5113, no, no,129,9.3,1,No,NC,0.0,No,Low
 330-2662, no, yes,107,48.18,2,No,VA,0.2,No,Low
 330-5824, yes, no,137,43.86,0,Yes,MT,0.82,Yes,Critical
 411-1261, no, no,76,15.39,1,No,MI,0.01,No,Low
 329-8788, no, no,24,40.05,0,No,HI,0.04,No,Low
 333-7869, no, no,169,24.23,2,No,NC,0.01,No,Low
 399-4800, no, no,30,9.18,1,No,MN,0.02,No,Low
 402-2072, no, no,70,36.52,3,No,WV,0.01,No,Low
 403-6187, yes, no,52,42.74,0,Yes,SD,0.89,Yes,Critical
 355-2872, no, no,3,23.63,4,No,HI,0.19,No,Low
 386-2970, no, no,38,19.94,2,No,MS,0.01,No,Low
 389-6081, no, no,104,44.88,3,No,NY,0.03,No,Low
 348-7556, no, no,27,14.04,1,No,LA,0.0,No,Low
 334-9163, yes, yes,166,29.89,1,No,KS,0.14,No,Low
 411-4293, no, no,13,37.47,2,No,MA,0.05,No,Low
 375-5562, no, no,52,36.89,2,No,AK,0.0,No,Low
 386-3823, no, yes,114,21.93,1,No,SD,0.02,No,Low
 364-6445, no, no,156,25.59,1,No,CO,0.01,No,Low
 383-2251, no, yes,90,32.86,0,No,NH,0.04,No,Low
 351-3169, no, no,62,32.22,2,No,WV,0.0,No,Low
 413-6380, no, yes,82,23.43,2,No,AZ,0.0,No,Low
 380-9674, no, no,52,21.98,3,No,ME,0.03,No,Low
 345-2319, no, no,146,19.65,1,No,NH,0.0,No,Low
 377-5441, no, yes,120,37.72,2,No,RI,0.0,No,Low
 358-3692, no, no,130,44.83,1,Yes,ID,0.83,Yes,Critical
 400-5831, no, no,90,10.42,1,No,WI,0.04,No,Low
 357-5995, yes, no,147,31.25,1,No,NM,0.06,No,Low
 391-2159, no, no,159,28.46,0,Yes,WY,0.62,Yes,High
 398-5954, no, yes,74,26.2,4,No,IL,0.09,No,Low
 385-6175, no, no,130,42.84,0,No,TX,0.07,No,Low
 334-2961, yes, no,155,27.73,0,No,RI,0.1,No,Low
 405-4303, no, no,87,33.71,2,No,MI,0.04,No,Low
 406-4100, no, no,81,55.2,0,Yes,OR,0.9,Yes,Critical
 352-4401, no, no,99,21.81,2,No,VA,0.01,No,Low
 347-1473, no, no,131,31.94,2,No,SD,0.01,No,Low
 347-2016, no, no,89,21.96,5,Yes,AL,0.93,Yes,Critical
 388-8948, yes, no,123,21.34,4,Yes,MS,0.82,Yes,Critical
 402-5509, no, yes,130,43.72,1,No,MS,0.03,No,Low
 367-2598, no, no,99,21.18,1,No,HI,0.0,No,Low
 370-5001, no, no,36,29.77,1,No,WV,0.01,No,Low
 332-3693, no, no,87,21.13,3,No,WV,0.03,No,Low
 403-9766, no, no,139,46.17,2,No,WV,0.1,No,Low
 363-2407, no, no,189,37.38,1,No,IN,0.02,No,Low
 395-9214, no, yes,96,31.16,3,No,NM,0.04,No,Low
 351-8894, no, no,112,17.19,2,No,DE,0.01,No,Low
 406-5003, no, no,75,34.56,1,No,NC,0.01,No,Low
 398-1332, no, yes,178,29.82,2,No,NM,0.12,No,Low
 363-8033, no, no,112,45.22,2,Yes,SC,0.87,Yes,Critical
 333-1012, no, yes,108,29.17,0,No,NJ,0.05,No,Low
 391-6260, no, no,100,13.38,0,No,AZ,0.04,No,Low
 336-1353, no, yes,121,36.02,0,No,RI,0.01,No,Low
 365-5629, no, no,116,10.83,1,No,SD,0.0,No,Low
 349-4397, no, no,161,29.48,1,No,NH,0.02,No,Low
 380-3910, yes, no,19,40.41,0,No,AL,0.04,No,Low
 354-7820, no, no,104,38.4,1,No,WV,0.03,No,Low
 338-9952, yes, yes,119,29.41,0,No,ID,0.01,No,Low
 405-1821, no, no,125,38.23,0,No,MD,0.0,No,Low
 329-8669, no, no,156,40.41,1,No,IN,0.04,No,Low
 328-8808, no, no,109,23.29,2,No,WY,0.02,No,Low
 409-3018, no, no,95,24.23,2,No,NH,0.03,No,Low
 421-5994, no, no,90,24.21,1,No,MN,0.01,No,Low
 354-4448, no, yes,105,24.99,2,No,MA,0.01,No,Low
 352-5081, no, no,101,37.45,1,No,NH,0.02,No,Low
 401-7803, no, no,95,25.36,1,No,MN,0.02,No,Low
 420-6052, no, no,123,34.75,0,No,IA,0.01,No,Low
 352-6084, no, no,160,36.86,1,No,NY,0.02,No,Low
 388-8583, no, yes,141,52.36,1,No,AL,0.03,No,Low
 415-3158, no, no,87,9.86,0,No,WV,0.03,No,Low
 402-9304, no, no,81,29.44,2,No,NM,0.03,No,Low
 341-1916, no, yes,75,35.75,4,No,CA,0.12,No,Low
 381-2745, no, yes,126,10.01,0,No,MA,0.06,No,Low
 402-5014, no, no,28,40.26,3,No,ME,0.05,No,Low
 399-8846, no, no,153,38.91,0,No,FL,0.01,No,Low
 328-9267, no, yes,97,15.3,2,Yes,NH,0.64,Yes,High
 348-7224, no, no,115,24.94,2,No,IN,0.01,No,Low
 336-2190, no, no,95,40.34,1,No,WI,0.01,No,Low
 376-4705, yes, no,17,27.68,0,Yes,MA,0.95,Yes,Critical
 381-4076, no, yes,105,31.77,1,No,NH,0.01,No,Low
 348-8464, no, no,121,14.64,2,No,TX,0.02,No,Low
 412-7020, no, no,125,36.09,2,No,NC,0.0,No,Low
 386-8432, no, no,124,25.67,2,No,CT,0.01,No,Low
 337-1802, no, no,35,26.96,2,No,NJ,0.04,No,Low
